id,ticket_id,alert_id,full_log,description,suggestion,is_created
1,NULL,1715072752,Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process,Duplicate case,This Wazuh alert relates to Cydarm case number [C06QNB].,FALSE
2,NULL,1715072822,"Powershell script used \""Invoke-command\"" cmdlet to execute sub script",Duplicate case,This Wazuh alert relates to Cydarm case number [C06QNB].,FALSE
3,NULL,1715074683,"Powershell script used \""Invoke-command\"" cmdlet to execute sub script",Duplicate case,This Wazuh alert relates to Cydarm case number [C06QNB].,FALSE
4,NULL,1715074797,Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process,Duplicate case,This Wazuh alert relates to Cydarm case number [C06QNB].,FALSE
5,NULL,1715076543,"Powershell script used \""Invoke-command\"" cmdlet to execute sub script",Duplicate case,This Wazuh alert relates to Cydarm case number [C06QNB].,FALSE
6,NULL,1715076598,Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process,Duplicate case,This Wazuh alert relates to Cydarm case number [C06QNB].,FALSE
7,NULL,1715078401,"Powershell script used \""Invoke-command\"" cmdlet to execute sub script",Duplicate case,This Wazuh alert relates to Cydarm case number [C06QNB].,FALSE
8,NULL,1715078435,Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process,Duplicate case,This Wazuh alert relates to Cydarm case number [C06QNB].,FALSE
9,NULL,1715079901,"Powershell script used \""Invoke-command\"" cmdlet to execute sub script",Duplicate case,This Wazuh alert relates to Cydarm case number [C06QNB].,FALSE
10,NULL,1715079935,Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process,Duplicate case,This Wazuh alert relates to Cydarm case number [C06QNB].,FALSE
11,NULL,1715081881,"Powershell script used \""Invoke-command\"" cmdlet to execute sub script",Duplicate case,This Wazuh alert relates to Cydarm case number [C06QNB].,FALSE
12,NULL,1715081998,Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process,Duplicate case,This Wazuh alert relates to Cydarm case number [C06QNB].,FALSE
13,NULL,1715083861,"Powershell script used \""Invoke-command\"" cmdlet to execute sub script",Duplicate case,This Wazuh alert relates to Cydarm case number [C06QNB].,FALSE
14,NULL,1715084070,Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process,Duplicate case,This Wazuh alert relates to Cydarm case number [C06QNB].,FALSE
15,NULL,1715085721,"Powershell script used \""Invoke-command\"" cmdlet to execute sub script",Duplicate case,This Wazuh alert relates to Cydarm case number [C06QNB].,FALSE
16,NULL,1715085898,Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process,Duplicate case,This Wazuh alert relates to Cydarm case number [C06QNB].,FALSE
17,NULL,1715087521,"Powershell script used \""Invoke-command\"" cmdlet to execute sub script",Duplicate case,This Wazuh alert relates to Cydarm case number [C06QNB].,FALSE
18,NULL,1715087735,Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process,Duplicate case,This Wazuh alert relates to Cydarm case number [C06QNB].,FALSE
19,NULL,1715089380,"Powershell script used \""Invoke-command\"" cmdlet to execute sub script",Duplicate case,This Wazuh alert relates to Cydarm case number [C06QNB].,FALSE
20,NULL,1715089534,Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process,Duplicate case,This Wazuh alert relates to Cydarm case number [C06QNB].,FALSE
21,NULL,1715091183,"Powershell script used \""Invoke-command\"" cmdlet to execute sub script",Suspicious PowerShell Activity Detected,"A WAZUH alert has been triggered indicating the use of the 'Invoke-command' cmdlet in a PowerShell script\, executed from agent (056) - DC. This activity is associated with rule 91822 and is linked to MITRE ID T1059.001\, which pertains to the Execution tactic\, specifically the PowerShell technique. Immediate actions required include: 1. Verify the legitimacy of the script execution by reviewing the associated user and context of the command. 2. Examine the PowerShell script contents for any malicious intent or unauthorized commands. 3. Check the agent's recent activities and command history for any other unusual actions. 4. Review and analyze logs for any related events or anomalies around the time of the script execution. 5. Update or create firewall and IDS rules to monitor and potentially block similar unauthorized activities. 6. Conduct a broader security audit on the DC to ensure no other suspicious activities have occurred. 7. Inform relevant cybersecurity teams and stakeholders about the incident for further investigation and response.",FALSE
22,NULL,1715091351,Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process,Suspicious PowerShell Execution Detected,"A WAZUH alert has been triggered indicating a potential unmanaged PowerShell execution. The alert details are as follows: A binary loaded PowerShell automation library was executed by a suspicious process on Agent (056) - DC. This activity is associated with the MITRE technique T1059.001\, under the tactic 'Execution'. Immediate actions required include: 1. Verify the legitimacy of the process involved in the PowerShell execution. 2. Review the PowerShell scripts or commands executed by the process. 3. Check for any other anomalous activities or alerts related to this agent. 4. Investigate the source and intent of the PowerShell usage to determine if it was part of a legitimate task or a potential security breach. 5. Update or create firewall and security rules to monitor and control PowerShell execution within the network. 6. Document all findings and actions taken in response to this alert for further review and compliance.",FALSE
