"id","ticket_id","alert_id","full_log","description","suggestion","is_created"
1,NULL,"1715072751.797188685","Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process","Duplicate case","This Wazuh alert relates to Cydarm case number [C06QNB].",False
2,NULL,"1715072821.798136970","Powershell script used \""Invoke-command\"" cmdlet to execute sub script","Duplicate case","This Wazuh alert relates to Cydarm case number [C06QNB].",False
3,NULL,"1715074682.822221049","Powershell script used \""Invoke-command\"" cmdlet to execute sub script","Duplicate case","This Wazuh alert relates to Cydarm case number [C06QNB].",False
4,NULL,"1715074796.823469761","Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process","Duplicate case","This Wazuh alert relates to Cydarm case number [C06QNB].",False
5,NULL,"1715076542.846310885","Powershell script used \""Invoke-command\"" cmdlet to execute sub script","Duplicate case","This Wazuh alert relates to Cydarm case number [C06QNB].",False
6,NULL,"1715076597.846885453","Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process","Duplicate case","This Wazuh alert relates to Cydarm case number [C06QNB].",False
7,NULL,"1715078400.870407949","Powershell script used \""Invoke-command\"" cmdlet to execute sub script","Duplicate case","This Wazuh alert relates to Cydarm case number [C06QNB].",False
8,NULL,"1715078434.870945998","Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process","Duplicate case","This Wazuh alert relates to Cydarm case number [C06QNB].",False
9,NULL,"1715079900.890949219","Powershell script used \""Invoke-command\"" cmdlet to execute sub script","Duplicate case","This Wazuh alert relates to Cydarm case number [C06QNB].",False
10,NULL,"1715079934.891452460","Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process","Duplicate case","This Wazuh alert relates to Cydarm case number [C06QNB].",False
11,NULL,"1715081880.916564309","Powershell script used \""Invoke-command\"" cmdlet to execute sub script","Duplicate case","This Wazuh alert relates to Cydarm case number [C06QNB].",False
12,NULL,"1715081997.917725963","Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process","Duplicate case","This Wazuh alert relates to Cydarm case number [C06QNB].",False
13,NULL,"1715083860.942246473","Powershell script used \""Invoke-command\"" cmdlet to execute sub script","Duplicate case","This Wazuh alert relates to Cydarm case number [C06QNB].",False
14,NULL,"1715084069.944840583","Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process","Duplicate case","This Wazuh alert relates to Cydarm case number [C06QNB].",False
15,NULL,"1715085720.966506607","Powershell script used \""Invoke-command\"" cmdlet to execute sub script","Duplicate case","This Wazuh alert relates to Cydarm case number [C06QNB].",False
16,NULL,"1715085897.969013488","Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process","Duplicate case","This Wazuh alert relates to Cydarm case number [C06QNB].",False
17,NULL,"1715087520.989612083","Powershell script used \""Invoke-command\"" cmdlet to execute sub script","Duplicate case","This Wazuh alert relates to Cydarm case number [C06QNB].",False
18,NULL,"1715087734.992952978","Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process","Duplicate case","This Wazuh alert relates to Cydarm case number [C06QNB].",False
19,NULL,"1715089380.1013364018","Powershell script used \""Invoke-command\"" cmdlet to execute sub script","Duplicate case","This Wazuh alert relates to Cydarm case number [C06QNB].",False
20,NULL,"1715089534.1016237711","Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process","Duplicate case","This Wazuh alert relates to Cydarm case number [C06QNB].",False
21,NULL,"1715091183.1036930048","Powershell script used \""Invoke-command\"" cmdlet to execute sub script","Suspicious PowerShell Activity Detected","A WAZUH alert has been triggered indicating the use of the 'Invoke-command' cmdlet in a PowerShell script\, executed from agent (056) - DC. This activity is associated with rule 91822 and is linked to MITRE ID T1059.001\, which pertains to the Execution tactic\, specifically the PowerShell technique. Immediate actions required include: 1. Verify the legitimacy of the script execution by reviewing the associated user and context of the command. 2. Examine the PowerShell script contents for any malicious intent or unauthorized commands. 3. Check the agent's recent activities and command history for any other unusual actions. 4. Review and analyze logs for any related events or anomalies around the time of the script execution. 5. Update or create firewall and IDS rules to monitor and potentially block similar unauthorized activities. 6. Conduct a broader security audit on the DC to ensure no other suspicious activities have occurred. 7. Inform relevant cybersecurity teams and stakeholders about the incident for further investigation and response.",False
22,NULL,"1715091351.1039749456","Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process","Suspicious PowerShell Execution Detected","A WAZUH alert has been triggered indicating a potential unmanaged PowerShell execution. The alert details are as follows: A binary loaded PowerShell automation library was executed by a suspicious process on Agent (056) - DC. This activity is associated with the MITRE technique T1059.001\, under the tactic 'Execution'. Immediate actions required include: 1. Verify the legitimacy of the process involved in the PowerShell execution. 2. Review the PowerShell scripts or commands executed by the process. 3. Check for any other anomalous activities or alerts related to this agent. 4. Investigate the source and intent of the PowerShell usage to determine if it was part of a legitimate task or a potential security breach. 5. Update or create firewall and security rules to monitor and control PowerShell execution within the network. 6. Document all findings and actions taken in response to this alert for further review and compliance.",False
23,NULL,"1715093042.1061079323","Powershell script used \""Invoke-command\"" cmdlet to execute sub script","Suspicious PowerShell Activity Detected","A WAZUH alert has been triggered indicating the use of the 'Invoke-command' cmdlet in a PowerShell script\, executed from the agent labeled '(056) - DC'. This activity is associated with the MITRE technique ID T1059.001\, which falls under the 'Execution' tactic. Immediate actions required include: 1. Isolate the affected system to prevent any potential spread or further unauthorized actions. 2. Conduct a thorough investigation of the system logs around the time of the alert to identify any unauthorized commands or alterations made. 3. Review all recent PowerShell command executions and scripts run on the system to ascertain the scope and intent of the commands executed. 4. Update and enforce firewall and endpoint detection rules to detect and block similar attempts in the future. 5. After the investigation\, consider rolling back the system to a known good state if any unauthorized changes are detected.",False
24,NULL,"1715093151.1062944691","Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process","Suspicious PowerShell Execution Detected","A WAZUH alert has been triggered indicating a potential security incident involving unmanaged PowerShell execution. The alert details a binary loaded PowerShell automation library executed by a suspicious process on Agent (056) - DC. This activity is associated with MITRE ID T1059.001\, which pertains to the Execution tactic and specifically the PowerShell technique. Immediate actions required include: 1. Verify the legitimacy of the PowerShell execution by reviewing the associated process and command line arguments. 2. Check for any recent changes or updates to PowerShell scripts and modules on the affected system. 3. Review logs for any anomalous activities or commands executed prior to the alert. 4. Isolate the affected system to prevent any potential lateral movement or further unauthorized activities. 5. Conduct a full system scan to identify any other potential threats or compromises. 6. Update and enforce endpoint detection and response (EDR) rules to detect similar activities in the future.",False
25,NULL,"1715094873.1085399380","Powershell script used \""Invoke-command\"" cmdlet to execute sub script","Suspicious PowerShell Activity Detected","A WAZUH alert has been triggered indicating the use of the 'Invoke-command' cmdlet in a PowerShell script\, executed from agent (056) - DC. This activity is associated with rule 91822 and is linked to MITRE ID T1059.001\, which pertains to the Execution tactic and PowerShell technique. Immediate actions are required to investigate and mitigate potential threats:

1. Verify the legitimacy of the PowerShell script execution by reviewing the script content and the context in which it was run.
2. Identify the user account under which the PowerShell command was executed and review its recent activities for any anomalies.
3. Check the system logs around the time of the alert to identify any related events or changes made to the system.
4. Isolate the affected system to prevent any potential lateral movement or further unauthorized actions.
5. Conduct a thorough scan of the system using updated antivirus and anti-malware tools to detect any other malicious activities or remnants.
6. Review and strengthen security policies and controls around the use of administrative tools and PowerShell execution policies.
7. Prepare a detailed incident report documenting the findings\, actions taken\, and recommendations for preventing similar incidents in the future.",False
26,NULL,"1715094951.1086778075","Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process","Suspicious PowerShell Execution Detected","A WAZUH alert has been triggered indicating a potential security threat involving PowerShell execution. The alert details a binary-loaded PowerShell automation library\, suggesting possible unmanaged PowerShell execution by a suspicious process on Agent (056) - DC. Immediate actions are required to investigate and mitigate this issue to prevent any potential breach or malicious activity within the network. Steps to address the alert:1. Verify the alert's source by checking the WAZUH ID and the specific agent involved.2. Review the PowerShell execution logs on the specified agent to identify any unusual or unauthorized commands that were executed.3. Analyze the process that initiated the PowerShell execution to determine its origin and legitimacy.4. Check for any external connections that were established during the time of the alert to identify potential command and control (C2) communications.5. Isolate the affected system to prevent any lateral movement or further unauthorized activities.6. Perform a full system scan to detect any other potential threats or anomalies.7. Update security measures and rules on the IDS/IPS systems to detect and prevent similar incidents.8. Conduct a thorough investigation to determine the cause of the incident and document all findings for future reference.",False
27,NULL,"1715096673.1109172056","Powershell script used \""Invoke-command\"" cmdlet to execute sub script","Suspicious PowerShell Activity Detected","A WAZUH alert has been triggered indicating the use of the 'Invoke-command' cmdlet in a PowerShell script\, which is commonly used for remote script execution. This activity was detected on agent (056) - DC and is associated with rule 91822. The MITRE ATT&CK framework identifies this as Technique T1059.001 under the 'Execution' tactic. Immediate actions required include: 1. Verify the legitimacy of the script execution context. 2. Review the command and script contents executed by the 'Invoke-command' cmdlet. 3. Check for any additional network connections or processes initiated by this PowerShell execution. 4. Investigate the origin of the script to determine if it was authorized. 5. Update or create firewall rules to block unauthorized outbound connections if necessary. 6. Conduct a thorough audit of the affected system and related systems for any further signs of compromise.",False
