locator,C,R,E,U,P,T,A*
MENPK7,0.0,,,,,,1.0
BPX753,0.0,0.0,,,,,1.0
CSH6RF,0.0,0.0,,,,,1.0
3C8PQF,0.0,0.0,,,,,1.0
CSH6RF,0.0,0.0,,,,,1.0
3L35FQ,0.0,0.0,,,,,1.0
BPX753,0.0,0.0,,,,,1.0
3C8PQF,0.0,0.0,,,,,1.0
3C8PQF,0.0,0.0,,,,,1.0
3C8PQF,0.0,0.0,,,,,1.0
JK8AZA,0.0,0.0,,,,,1.0
3C8PQF,0.0,0.0,,,,,1.0
0K3EQG,0.0,0.0,,,,,1.0
3HG4RC,0.0,0.0,,,,,1.0
3L35FQ,0.0,0.0,,,,,1.0
3L35FQ,0.0,0.0,,,,,1.0
3L35FQ,0.0,0.0,,,,,1.0
3HG4RC,0.0,0.0,,,,,1.0
CSH6RF,0.0,0.0,,,,,1.0
BPX753,0.0,0.0,,,,,1.0
5BZQ3Y,0.0,0.0,,,,,1.0
3HG4RC,0.0,0.0,,,,,1.0
UAGEAL,0.0,0.0,,,,,1.0
5BZQ3Y,0.0,0.0,,,,,1.0
UAGEAL,0.0,0.0,,,,,1.0
JK8AZA,0.0,0.0,,,,,1.0
UAGEAL,0.0,0.0,,,,,1.0
BPX753,0.0,0.0,,,,,1.0
BPX753,0.0,0.0,,,,,1.0
3L35FQ,0.0,0.0,,,,,1.0
BPX753,0.0,0.0,,,,,1.0
0K3EQG,0.0,0.0,,,,,1.0
3HG4RC,0.0,0.0,,,,,1.0
D4LMDD,0.0,0.0,,,,,1.0
3HG4RC,0.0,0.0,,,,,1.0
UAGEAL,0.0,0.0,,,,,1.0
3HG4RC,0.0,0.0,,,,,1.0
UAGEAL,0.0,0.0,,,,,1.0
UAGEAL,0.0,0.0,,,,,1.0
UAGEAL,0.0,0.0,,,,,1.0
BPX753,0.0,0.0,,,,,1.0
5BZQ3Y,0.0,0.0,,,,,1.0
Z10B4C,0.0,,,,,,1.0
5BZQ3Y,0.0,0.0,,,,,1.0
CSH6RF,0.0,0.0,,,,,1.0
CSH6RF,0.0,0.0,,,,,1.0
CSH6RF,0.0,0.0,,,,,1.0
5BZQ3Y,0.0,0.0,,,,,1.0
6SR9HJ,0.0,0.0,,,,,1.0
Z10B4C,0.0,,,,,,1.0
Z10B4C,0.0,,,,,,1.0
C06QNB,0.0,0.0,,,,,1.0
KGAU4W,0.0,0.0,,,,,1.0
MENPK7,0.0,,,,,,1.0
MENPK7,0.0,,,,,,1.0
C06QNB,0.0,0.0,,,,,1.0
BPX753,0.0,0.0,,,,,1.0
6SR9HJ,0.0,0.0,,,,,1.0
D4LMDD,0.0,0.0,,,,,1.0
JK8AZA,0.0,0.0,,,,,1.0
5BZQ3Y,0.0,0.0,,,,,1.0
CSH6RF,0.0,0.0,,,,,1.0
BPX753,0.0,0.0,,,,,1.0
BPX753,0.0,0.0,,,,,1.0
BPX753,0.0,0.0,,,,,1.0
JK8AZA,0.0,0.0,,,,,1.0
UAGEAL,0.0,0.0,,,,,1.0
UAGEAL,0.0,0.0,,,,,1.0
CSH6RF,0.0,0.0,,,,,1.0
CSH6RF,0.0,0.0,,,,,1.0
3HG4RC,0.0,0.0,,,,,1.0
3HG4RC,0.0,0.0,,,,,1.0
D4LMDD,0.0,0.0,,,,,1.0
D4LMDD,0.0,0.0,,,,,1.0
JK8AZA,0.0,0.0,,,,,1.0
NXJTMU,0.011,0.0,,,,,0.995
ZBA8RF,0.012,0.0,,,,,0.995
DQVB1H,0.017,0.0,,,,,0.993
E1B88P,0.018,0.0,,,,,0.993
43DCW3,0.02,0.0,,,,,0.992
AFS8QY,0.023,0.0,,,,,0.991
6GA4ZL,0.0,0.333,,,,,0.8
10V0PX,0.0,0.333,,,,,0.8
5P0LVL,0.0,0.333,,,,,0.8
5P0LVL,0.0,0.333,,,,,0.8
BC90EU,0.0,0.333,,,,,0.8
BC90EU,0.0,0.333,,,,,0.8
YBEYJH,0.0,0.333,,,,,0.8
